Year,City,State,Industry,Workers,Revenue,Latitude,Longitude
2007,Abilene,TX,Software,50,7315000,32.4487364,-99.7331439
2007,Acton,MA,IT Services,120,3492505,42.4850931,-71.43284
2007,Acton,MA,Software,25,4203275,42.4850931,-71.43284
2007,Addison,TX,Human Resources,170,22000000,32.96179,-96.8291685
2007,Addison,TX,IT Services,38,5323537,32.96179,-96.8291685
2007,Adrian,MI,Telecommunications,18,2076065,41.8975471,-84.0371659
2007,Agoura Hills,CA,IT Services,20,7345021,34.1533395,-118.7616764
2007,Akron,OH,Health,1452,24612187,41.0814447,-81.5190053
2007,Albuquerque,NM,Business Products & Services,32,6762807,35.0853336,-106.6055534
